iter	Passed	Remaining
661	1012	517
662	1014	515
663	1015	513
664	1015	511
665	1016	509
666	1017	508
667	1018	506
668	1019	504
669	1020	502
670	1021	500
671	1022	498
672	1022	497
673	1023	495
674	1024	493
675	1027	492
676	1028	490
677	1029	489
678	1030	487
679	1031	485
680	1032	483
681	1033	481
682	1034	480
683	1035	478
684	1036	476
685	1037	474
686	1038	473
687	1042	472
688	1043	470
689	1044	469
690	1045	467
691	1046	465
692	1047	464
693	1048	462
694	1049	460
695	1050	458
696	1051	456
697	1052	455
698	1053	453
699	1058	453
700	1059	451
701	1060	450
702	1062	448
703	1062	446
704	1063	445
705	1064	443
706	1065	441
707	1066	439
708	1067	438
709	1068	436
710	1071	435
711	1073	434
712	1074	432
713	1075	430
714	1076	428
715	1076	427
716	1077	425
717	1078	423
718	1079	421
719	1080	420
720	1081	418
721	1082	416
722	1083	415
723	1085	413
724	1088	412
725	1092	412
726	1093	410
727	1094	409
728	1096	407
729	1097	405
730	1098	404
731	1103	404
732	1104	402
733	1106	400
734	1107	399
735	1109	397
736	1110	396
737	1112	394
738	1113	393
739	1116	392
740	1119	391
741	1120	389
742	1121	388
743	1122	386
744	1124	384
745	1125	383
746	1127	381
747	1128	380
748	1129	378
749	1133	377
750	1135	376
751	1136	374
752	1137	373
753	1138	371
754	1139	369
755	1140	368
756	1142	366
757	1143	364
758	1144	363
759	1149	363
760	1151	361
761	1152	359
762	1153	358
763	1154	356
764	1156	355
765	1157	353
766	1159	352
767	1160	350
768	1165	350
769	1166	348
770	1167	346
771	1168	345
772	1170	343
773	1171	341
774	1172	340
775	1173	338
776	1174	337
777	1176	335
778	1180	334
779	1182	333
780	1183	331
781	1185	330
782	1186	328
783	1187	327
784	1191	326
785	1196	325
786	1197	324
787	1199	322
788	1200	321
789	1201	319
790	1203	317
791	1204	316
792	1206	314
793	1207	313
794	1211	312
795	1213	310
796	1214	309
797	1215	307
798	1216	306
799	1218	304
800	1219	302
801	1220	301
802	1221	299
803	1223	298
804	1225	296
805	1227	295
806	1228	293
807	1229	292
808	1230	290
809	1232	289
810	1233	287
811	1234	285
812	1235	284
813	1237	282
814	1241	281
815	1242	280
816	1243	278
817	1245	277
818	1246	275
819	1247	273
820	1248	272
821	1250	270
822	1251	269
823	1252	267
824	1257	266
825	1258	265
826	1259	263
827	1260	261
828	1261	260
829	1262	258
830	1264	257
831	1265	255
832	1266	253
833	1267	252
834	1268	250
835	1272	249
836	1273	248
837	1275	246
838	1276	244
839	1278	243
840	1279	241
841	1281	240
842	1282	238
843	1285	237
844	1286	236
845	1288	234
846	1289	232
847	1291	231
848	1292	229
849	1294	228
850	1295	226
851	1296	225
852	1297	223
853	1301	222
854	1304	221
855	1306	219
856	1308	218
857	1310	216
858	1312	215
859	1315	214
860	1317	212
861	1318	211
862	1319	209
863	1320	207
864	1322	206
865	1323	204
866	1324	203
867	1325	201
868	1326	199
869	1327	198
870	1332	197
871	1333	195
872	1334	194
873	1336	192
874	1337	191
875	1338	189
876	1339	187
877	1340	186
878	1341	184
879	1342	183
880	1343	181
881	1346	180
882	1348	178
883	1349	177
884	1351	175
885	1352	173
886	1352	172
887	1353	170
888	1354	169
889	1355	167
890	1356	165
891	1357	164
892	1358	162
893	1359	161
894	1362	159
895	1363	158
896	1365	156
897	1366	155
898	1367	153
899	1368	152
900	1369	150
901	1370	148
902	1371	147
903	1372	145
904	1373	144
905	1373	142
906	1378	141
907	1379	139
908	1380	138
909	1382	136
910	1384	135
911	1385	133
912	1386	132
913	1387	130
914	1388	128
915	1389	127
916	1392	126
917	1394	124
918	1394	122
919	1396	121
920	1397	119
921	1398	118
922	1399	116
923	1400	115
924	1401	113
925	1402	112
926	1403	110
927	1404	108
928	1408	107
929	1409	106
930	1410	104
931	1411	103
932	1413	101
933	1414	99
934	1415	98
935	1416	96
936	1417	95
937	1419	93
938	1421	92
939	1423	90
940	1424	89
941	1425	87
942	1426	86
943	1427	84
944	1428	83
945	1429	81
946	1430	80
947	1430	78
948	1431	76
949	1432	75
950	1433	73
951	1434	72
952	1438	70
953	1439	69
954	1440	67
955	1441	66
956	1443	64
957	1444	63
958	1445	61
959	1445	60
960	1446	58
961	1447	57
962	1448	55
963	1449	54
964	1453	52
965	1454	51
966	1455	49
967	1456	48
968	1457	46
969	1457	45
970	1458	43
971	1459	42
972	1460	40
973	1461	39
974	1462	37
975	1463	35
976	1464	34
977	1464	32
978	1467	31
979	1468	29
980	1469	28
981	1470	26
982	1471	25
983	1472	23
984	1473	22
985	1474	20
986	1474	19
987	1475	17
988	1476	16
989	1477	14
990	1478	13
991	1479	11
992	1481	10
993	1483	8
994	1484	7
995	1485	5
996	1486	4
997	1487	2
998	1488	1
999	1489	0
